,Ensembl transcript ID,SL with MS evidence
0,ENST00000372616,c
1,ENST00000372616,c
2,ENST00000372616,c
3,ENST00000372616,c
4,ENST00000372616,c
5,ENST00000220764,m
6,ENST00000544913,n
7,ENST00000576983,c
8,ENST00000380649,m
9,ENST00000380649,c
10,ENST00000380649,m
11,ENST00000380649,m
12,ENST00000380649,c
13,ENST00000380649,c
14,ENST00000622841,m
15,ENST00000622841,c
16,ENST00000375341,m
17,ENST00000615355,c
18,ENST00000615355,c
19,ENST00000579847,c
20,ENST00000619865,c
21,ENST00000636743,m
22,ENST00000636743,m
23,ENST00000636743,m
24,ENST00000636743,m
25,ENST00000636743,m
26,ENST00000636743,c
27,ENST00000636743,c
28,ENST00000636743,c
29,ENST00000636743,c
30,ENST00000636743,c
31,ENST00000636743,m
32,ENST00000636743,c
33,ENST00000636743,m
34,ENST00000636743,c
35,ENST00000396213,c
36,ENST00000265838,m
37,ENST00000439227,c
38,ENST00000491621,c
39,ENST00000507917,c
40,ENST00000439817,c
41,ENST00000377698,m
42,ENST00000377698,c
43,ENST00000373365,c
44,ENST00000311337,c
45,ENST00000495834,c
46,ENST00000474315,m
47,ENST00000537713,m
48,ENST00000557487,m
49,ENST00000557487,c
50,ENST00000392066,c
51,ENST00000342741,c
52,ENST00000226299,c
53,ENST00000569798,c
54,ENST00000291565,n
55,ENST00000406590,c
56,ENST00000558554,c
57,ENST00000558554,m
58,ENST00000370631,c
59,ENST00000497883,c
60,ENST00000380843,m
61,ENST00000380668,c
62,ENST00000570258,c
63,ENST00000205402,m
64,ENST00000205402,c
65,ENST00000264193,m
66,ENST00000264193,c
67,ENST00000361538,m
68,ENST00000422569,c
69,ENST00000409908,c
70,ENST00000539780,c
71,ENST00000374490,m
72,ENST00000326637,n
73,ENST00000233114,c
74,ENST00000416293,m
75,ENST00000555709,c
76,ENST00000555709,c
77,ENST00000552959,m
78,ENST00000358186,m
79,ENST00000338961,m
80,ENST00000340941,m
81,ENST00000273398,c
82,ENST00000371221,m
83,ENST00000371221,m
84,ENST00000371224,m
85,ENST00000371224,m
86,ENST00000381839,c
