,Ensembl transcript ID that has SL with MS evidence
0,ENST00000540288
1,ENST00000398870
2,ENST00000375304
3,ENST00000544913
4,ENST00000615152
5,ENST00000420607
6,ENST00000254035
7,ENST00000361464
8,ENST00000307738
9,ENST00000367889
10,ENST00000219700
11,ENST00000375499
12,ENST00000540265
13,ENST00000229239
14,ENST00000492597
15,ENST00000509756
16,ENST00000636743
17,ENST00000393376
18,ENST00000444946
19,ENST00000569616
20,ENST00000354940
21,ENST00000430249
22,ENST00000474701
23,ENST00000359426
24,ENST00000443006
25,ENST00000409934
26,ENST00000631291
27,ENST00000538763
28,ENST00000528192
29,ENST00000558196
30,ENST00000610757
31,ENST00000414700
32,ENST00000440650
33,ENST00000436817
34,ENST00000401419
35,ENST00000296412
36,ENST00000367999
37,ENST00000312352
38,ENST00000559416
39,ENST00000524826
40,ENST00000444450
41,ENST00000264093
42,ENST00000374832
43,ENST00000427365
44,ENST00000519584
45,ENST00000492795
46,ENST00000540249
47,ENST00000595031
48,ENST00000424301
49,ENST00000474765
50,ENST00000301522
51,ENST00000256216
52,ENST00000290573
53,ENST00000409674
54,ENST00000383714
55,ENST00000439427
56,ENST00000427898
57,ENST00000373271
58,ENST00000618908
59,ENST00000558472
60,ENST00000360566
61,ENST00000450579
62,ENST00000389093
63,ENST00000373176
64,ENST00000304801
65,ENST00000558096
66,ENST00000505308
67,ENST00000576864
68,ENST00000606142
69,ENST00000436370
70,ENST00000404802
71,ENST00000418807
72,ENST00000371224
73,ENST00000331200
74,ENST00000538132
75,ENST00000393896
76,ENST00000315144
77,ENST00000375048
78,ENST00000636891
79,ENST00000548345
80,ENST00000534716
81,ENST00000557487
82,ENST00000522301
83,ENST00000334029
84,ENST00000413174
85,ENST00000414835
86,ENST00000388854
87,ENST00000376286
88,ENST00000409476
89,ENST00000487418
90,ENST00000552959
91,ENST00000450723
92,ENST00000628663
93,ENST00000382151
94,ENST00000377698
95,ENST00000427190
96,ENST00000439227
97,ENST00000447184
98,ENST00000579698
99,ENST00000588479
100,ENST00000493987
101,ENST00000624934
102,ENST00000586425
103,ENST00000370132
104,ENST00000403172
105,ENST00000409804
106,ENST00000434505
107,ENST00000361538
108,ENST00000352035
109,ENST00000297283
110,ENST00000429360
111,ENST00000533817
112,ENST00000298510
113,ENST00000334398
114,ENST00000504811
115,ENST00000264932
116,ENST00000563060
117,ENST00000393868
118,ENST00000380746
119,ENST00000368547
120,ENST00000522368
121,ENST00000367048
122,ENST00000593152
123,ENST00000465828
124,ENST00000280346
125,ENST00000341695
126,ENST00000535434
127,ENST00000349048
128,ENST00000474594
129,ENST00000393190
130,ENST00000637666
131,ENST00000452063
132,ENST00000611279
133,ENST00000403525
134,ENST00000295920
135,ENST00000540367
136,ENST00000570622
137,ENST00000530908
138,ENST00000635851
139,ENST00000600923
140,ENST00000612039
141,ENST00000380125
142,ENST00000396512
143,ENST00000579847
144,ENST00000534285
145,ENST00000333503
146,ENST00000236959
147,ENST00000558813
148,ENST00000326739
149,ENST00000263774
150,ENST00000443588
151,ENST00000560266
152,ENST00000356489
153,ENST00000526950
154,ENST00000562168
155,ENST00000328923
156,ENST00000262746
157,ENST00000621845
158,ENST00000447596
159,ENST00000433297
160,ENST00000424390
161,ENST00000291565
162,ENST00000339618
163,ENST00000425753
164,ENST00000318158
165,ENST00000581807
166,ENST00000369406
167,ENST00000396222
168,ENST00000577624
169,ENST00000321612
170,ENST00000615355
171,ENST00000488245
172,ENST00000380118
173,ENST00000368433
174,ENST00000328111
175,ENST00000245206
176,ENST00000475462
177,ENST00000612895
178,ENST00000507089
179,ENST00000380668
180,ENST00000618024
181,ENST00000539986
182,ENST00000419197
183,ENST00000550345
184,ENST00000447866
185,ENST00000636265
186,ENST00000370834
187,ENST00000562679
188,ENST00000440274
189,ENST00000546146
190,ENST00000292432
191,ENST00000590665
192,ENST00000538309
193,ENST00000555709
194,ENST00000229277
195,ENST00000588991
196,ENST00000352886
197,ENST00000274562
198,ENST00000446179
199,ENST00000634990
200,ENST00000556689
201,ENST00000315251
202,ENST00000555773
203,ENST00000443614
204,ENST00000428702
205,ENST00000369409
206,ENST00000405233
207,ENST00000409601
208,ENST00000300738
209,ENST00000359678
210,ENST00000295266
211,ENST00000395912
212,ENST00000310454
213,ENST00000285930
214,ENST00000394434
215,ENST00000311337
216,ENST00000393614
217,ENST00000371486
218,ENST00000440410
219,ENST00000378946
220,ENST00000512737
221,ENST00000262030
222,ENST00000375341
223,ENST00000256108
224,ENST00000549941
225,ENST00000537713
226,ENST00000396075
227,ENST00000547587
228,ENST00000392379
229,ENST00000500692
230,ENST00000559837
231,ENST00000432169
232,ENST00000525777
233,ENST00000423516
234,ENST00000542324
235,ENST00000612683
236,ENST00000396076
237,ENST00000220584
238,ENST00000618074
239,ENST00000529887
240,ENST00000535926
241,ENST00000368087
242,ENST00000480134
243,ENST00000522249
244,ENST00000372394
245,ENST00000435675
246,ENST00000629371
247,ENST00000422745
248,ENST00000285093
249,ENST00000372418
250,ENST00000577756
251,ENST00000374490
252,ENST00000540617
