,Ensembl transcript ID that has SL not supported by MSMS
0,ENST00000530664
1,ENST00000540288
2,ENST00000398870
3,ENST00000544913
4,ENST00000615152
5,ENST00000254521
6,ENST00000446746
7,ENST00000361464
8,ENST00000307738
9,ENST00000367889
10,ENST00000219700
11,ENST00000375499
12,ENST00000540265
13,ENST00000229239
14,ENST00000492597
15,ENST00000509756
16,ENST00000636743
17,ENST00000393376
18,ENST00000444946
19,ENST00000569616
20,ENST00000354940
21,ENST00000430249
22,ENST00000474701
23,ENST00000409934
24,ENST00000617202
25,ENST00000517761
26,ENST00000631291
27,ENST00000538763
28,ENST00000528192
29,ENST00000558196
30,ENST00000610757
31,ENST00000414700
32,ENST00000440650
33,ENST00000449767
34,ENST00000401419
35,ENST00000367999
36,ENST00000412248
37,ENST00000312352
38,ENST00000557556
39,ENST00000559416
40,ENST00000524826
41,ENST00000444450
42,ENST00000532462
43,ENST00000264093
44,ENST00000374832
45,ENST00000256997
46,ENST00000427365
47,ENST00000519584
48,ENST00000595031
49,ENST00000474765
50,ENST00000301522
51,ENST00000256216
52,ENST00000290573
53,ENST00000618908
54,ENST00000439427
55,ENST00000427898
56,ENST00000373271
57,ENST00000526390
58,ENST00000558472
59,ENST00000360566
60,ENST00000450579
61,ENST00000389093
62,ENST00000373176
63,ENST00000304801
64,ENST00000558096
65,ENST00000505308
66,ENST00000576864
67,ENST00000606142
68,ENST00000546342
69,ENST00000436370
70,ENST00000404802
71,ENST00000572940
72,ENST00000319441
73,ENST00000418807
74,ENST00000331200
75,ENST00000538132
76,ENST00000393896
77,ENST00000315144
78,ENST00000609196
79,ENST00000375048
80,ENST00000636891
81,ENST00000548345
82,ENST00000534716
83,ENST00000243776
84,ENST00000522301
85,ENST00000334029
86,ENST00000413174
87,ENST00000414835
88,ENST00000388854
89,ENST00000409476
90,ENST00000487418
91,ENST00000450723
92,ENST00000628663
93,ENST00000382151
94,ENST00000427190
95,ENST00000439227
96,ENST00000447184
97,ENST00000579698
98,ENST00000588479
99,ENST00000493987
100,ENST00000624934
101,ENST00000586425
102,ENST00000447398
103,ENST00000403172
104,ENST00000361538
105,ENST00000441275
106,ENST00000429360
107,ENST00000533817
108,ENST00000334398
109,ENST00000504811
110,ENST00000380746
111,ENST00000546020
112,ENST00000393818
113,ENST00000367048
114,ENST00000522368
115,ENST00000307144
116,ENST00000343818
117,ENST00000465828
118,ENST00000537841
119,ENST00000280346
120,ENST00000341695
121,ENST00000535434
122,ENST00000349048
123,ENST00000474594
124,ENST00000393190
125,ENST00000637666
126,ENST00000452063
127,ENST00000611279
128,ENST00000295920
129,ENST00000570622
130,ENST00000540367
131,ENST00000635851
132,ENST00000357068
133,ENST00000530908
134,ENST00000600923
135,ENST00000612039
136,ENST00000531306
137,ENST00000380125
138,ENST00000579847
139,ENST00000534285
140,ENST00000561555
141,ENST00000236959
142,ENST00000558813
143,ENST00000326739
144,ENST00000443588
145,ENST00000560266
146,ENST00000526950
147,ENST00000562168
148,ENST00000505878
149,ENST00000262746
150,ENST00000447596
151,ENST00000433297
152,ENST00000424390
153,ENST00000291565
154,ENST00000339618
155,ENST00000445261
156,ENST00000425753
157,ENST00000318158
158,ENST00000368356
159,ENST00000581807
160,ENST00000369406
161,ENST00000577624
162,ENST00000610940
163,ENST00000615355
164,ENST00000321612
165,ENST00000488245
166,ENST00000380118
167,ENST00000368433
168,ENST00000328111
169,ENST00000623368
170,ENST00000535144
171,ENST00000475462
172,ENST00000612895
173,ENST00000507089
174,ENST00000380668
175,ENST00000618024
176,ENST00000539986
177,ENST00000419197
178,ENST00000550345
179,ENST00000447866
180,ENST00000562679
181,ENST00000546146
182,ENST00000440274
183,ENST00000292432
184,ENST00000326656
185,ENST00000538309
186,ENST00000555709
187,ENST00000229277
188,ENST00000588991
189,ENST00000352886
190,ENST00000574309
191,ENST00000274562
192,ENST00000446179
193,ENST00000634990
194,ENST00000556689
195,ENST00000315251
196,ENST00000555773
197,ENST00000443614
198,ENST00000428702
199,ENST00000369409
200,ENST00000300738
201,ENST00000359678
202,ENST00000395912
203,ENST00000285930
204,ENST00000394434
205,ENST00000444676
206,ENST00000311337
207,ENST00000393614
208,ENST00000371486
209,ENST00000381042
210,ENST00000440410
211,ENST00000462637
212,ENST00000378946
213,ENST00000512737
214,ENST00000549941
215,ENST00000537713
216,ENST00000396075
217,ENST00000547587
218,ENST00000392379
219,ENST00000500692
220,ENST00000559837
221,ENST00000432169
222,ENST00000423516
223,ENST00000366560
224,ENST00000293217
225,ENST00000612683
226,ENST00000396076
227,ENST00000220584
228,ENST00000618074
229,ENST00000529887
230,ENST00000535926
231,ENST00000368087
232,ENST00000221130
233,ENST00000522249
234,ENST00000265594
235,ENST00000372394
236,ENST00000435675
237,ENST00000422745
238,ENST00000285093
239,ENST00000372418
240,ENST00000367888
241,ENST00000577756
242,ENST00000392518
243,ENST00000374490
244,ENST00000540617
245,ENST00000280706
246,ENST00000465632
247,ENST00000392414
248,ENST00000272065
249,ENST00000444334
250,ENST00000262093
251,ENST00000522161
252,ENST00000554310
253,ENST00000361521
254,ENST00000321117
255,ENST00000455662
256,ENST00000217426
257,ENST00000361060
258,ENST00000393051
259,ENST00000439645
260,ENST00000626637
261,ENST00000538771
262,ENST00000541648
263,ENST00000233627
264,ENST00000526339
265,ENST00000261206
266,ENST00000545162
267,ENST00000341116
268,ENST00000459873
269,ENST00000392332
270,ENST00000443239
271,ENST00000529663
272,ENST00000366535
273,ENST00000558134
274,ENST00000277462
275,ENST00000342945
276,ENST00000352480
277,ENST00000539282
278,ENST00000439616
279,ENST00000490504
280,ENST00000470760
281,ENST00000557703
282,ENST00000210444
283,ENST00000586613
284,ENST00000356962
285,ENST00000635862
286,ENST00000501493
287,ENST00000393564
288,ENST00000442944
289,ENST00000436239
290,ENST00000515320
291,ENST00000504139
292,ENST00000409174
293,ENST00000262890
294,ENST00000342741
295,ENST00000524491
296,ENST00000397500
297,ENST00000529048
298,ENST00000222286
299,ENST00000442940
300,ENST00000564178
301,ENST00000394309
302,ENST00000561609
303,ENST00000510025
304,ENST00000266095
305,ENST00000378654
306,ENST00000423867
307,ENST00000584086
308,ENST00000503064
309,ENST00000319622
310,ENST00000566379
