,Entrez gene ID,Ensembl gene ID,Ensembl transcript ID,Transcript type,Predicted SL,Experimental evidences on SLs,Lee2017 Evidence,Shekari2017 Evidence
0,65220,ENSG00000008130,ENST00000341426,PT (PRINCIPAL:3),c,,N/A,N/A
1,65220,ENSG00000008130,ENST00000341426,PT (PRINCIPAL:3),n,,N/A,N/A
2,65220,ENSG00000008130,ENST00000341426,PT (PRINCIPAL:3),m,,N/A,N/A
3,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
4,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
5,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
6,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),n,,N/A,C (rep1)
7,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),n,,N/A,C (rep1)
8,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),n,,N/A,C (rep1)
9,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),m,,N/A,C (rep1)
10,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),m,,N/A,C (rep1)
11,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),m,,N/A,C (rep1)
12,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
13,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
14,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),n,,N/A,C (rep1)
15,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),n,,N/A,C (rep1)
16,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),m,,N/A,C (rep1)
17,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),m,,N/A,C (rep1)
18,6484,ENSG00000110080,ENST00000534083,PT (ALTERNATIVE:1),r,,N/A,N/A
19,6484,ENSG00000110080,ENST00000534083,PT (ALTERNATIVE:1),r,,N/A,N/A
20,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,N/A,N/A
21,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,N/A,N/A
22,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,N/A,N/A
23,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,N/A,N/A
24,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),c,,N/A,N/A
25,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),c,,N/A,N/A
26,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),c,,N/A,N/A
27,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),c,,N/A,N/A
28,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),x,,N/A,N/A
29,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),x,,N/A,N/A
30,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),x,,N/A,N/A
31,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),x,,N/A,N/A
32,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,N/A,N/A
33,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),c,,N/A,N/A
34,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),x,,N/A,N/A
35,7084,ENSG00000166548,ENST00000299697,PT (PRINCIPAL:3),m,,N/A,N/A
36,7084,ENSG00000166548,ENST00000299697,PT (PRINCIPAL:3),c,,N/A,N/A
37,1666,ENSG00000104325,ENST00000220764,PT (PRINCIPAL:2),m,Yes,N/A,M (rep1)
38,1666,ENSG00000104325,ENST00000220764,PT (PRINCIPAL:2),c,,N/A,M (rep1)
39,248,ENSG00000163295,ENST00000295463,PT (PRINCIPAL:1),r,,N/A,N/A
40,248,ENSG00000163295,ENST00000295463,PT (PRINCIPAL:1),l,,N/A,N/A
41,3158,ENSG00000134240,ENST00000544913,NPT,m,Yes,N/A,N (rep1)
42,3158,ENSG00000134240,ENST00000544913,NPT,n,,N/A,N (rep1)
43,5338,ENSG00000129219,ENST00000576983,NPT,c,,N/A,CM (rep2)
44,5338,ENSG00000129219,ENST00000576983,NPT,n,,N/A,CM (rep2)
45,759,ENSG00000133742,ENST00000523953,PT (PRINCIPAL:1),c,,N/A,N/A
46,759,ENSG00000133742,ENST00000523953,PT (PRINCIPAL:1),n,,N/A,N/A
47,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
48,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),n,,Inner Mitochondrial Membrane,CM (rep1)
49,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),c,,Inner Mitochondrial Membrane,CM (rep1)
50,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
51,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
52,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),n,,Inner Mitochondrial Membrane,CM (rep1)
53,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),n,,Inner Mitochondrial Membrane,CM (rep1)
54,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),c,,Inner Mitochondrial Membrane,CM (rep1)
55,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),c,,Inner Mitochondrial Membrane,CM (rep1)
56,7263,ENSG00000128311,ENST00000622841,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
57,7263,ENSG00000128311,ENST00000622841,PT (PRINCIPAL:1),c,,Inner Mitochondrial Membrane,CM (rep1)
58,1565,ENSG00000100197,ENST00000360608,PT (PRINCIPAL:1),r,,N/A,N/A
59,1565,ENSG00000100197,ENST00000360608,PT (PRINCIPAL:1),x,,N/A,N/A
60,1565,ENSG00000100197,ENST00000360608,PT (PRINCIPAL:1),l,,N/A,N/A
61,2879,ENSG00000167468,ENST00000593032,NPT,c,,N/A,H (rep1)
62,2879,ENSG00000167468,ENST00000593032,NPT,m,Yes,N/A,H (rep1)
63,8659,ENSG00000159423,ENST00000375341,PT (PRINCIPAL:1),m,,N/A,M (rep2)
64,1610,ENSG00000110887,ENST00000547166,NPT,x,,N/A,N/A
65,1610,ENSG00000110887,ENST00000547166,NPT,g,,N/A,N/A
66,5283,ENSG00000100564,ENST00000559581,NPT,n,,N/A,N/A
67,5283,ENSG00000100564,ENST00000559581,NPT,n,,N/A,N/A
68,160287,ENSG00000166800,ENST00000615355,NPT,c,,N/A,C (rep1)
69,160287,ENSG00000166800,ENST00000615355,NPT,m,,N/A,C (rep1)
70,160287,ENSG00000166800,ENST00000615355,NPT,n,,N/A,C (rep1)
71,160287,ENSG00000166800,ENST00000615355,NPT,r,,N/A,C (rep1)
72,160287,ENSG00000166800,ENST00000615355,NPT,c,,N/A,C (rep1)
73,160287,ENSG00000166800,ENST00000615355,NPT,m,,N/A,C (rep1)
74,160287,ENSG00000166800,ENST00000615355,NPT,n,,N/A,C (rep1)
75,160287,ENSG00000166800,ENST00000615355,NPT,r,,N/A,C (rep1)
76,5019,ENSG00000083720,ENST00000509987,NPT,c,,N/A,N/A
77,5019,ENSG00000083720,ENST00000509987,NPT,n,,N/A,N/A
78,55748,ENSG00000133313,ENST00000579847,PT (PRINCIPAL:1),c,Yes,N/A,C (rep1)
79,55748,ENSG00000133313,ENST00000579847,PT (PRINCIPAL:1),n,,N/A,C (rep1)
80,3421,ENSG00000067829,ENST00000619865,NPT,c,,N/A,CM (rep1)
