,Entrez gene ID,Ensembl gene ID,Ensembl transcript ID,Transcript type,Predicted SL,Experimental evidences on SLs,Lee2017 Evidence,Shekari2017 Evidence
0,65220,ENSG00000008130,ENST00000341426,PT (PRINCIPAL:3),c,,,
1,1503,ENSG00000171793,ENST00000372616,PT (PRINCIPAL:1),c,Yes,,C (rep1)
2,6484,ENSG00000110080,ENST00000534083,PT (ALTERNATIVE:1),r,,,
3,64816,ENSG00000021461,ENST00000354829,PT (ALTERNATIVE:1),r,,,
4,7084,ENSG00000166548,ENST00000299697,PT (PRINCIPAL:3),m,,,
5,1666,ENSG00000104325,ENST00000220764,PT (PRINCIPAL:2),m,Yes,,M (rep1)
6,248,ENSG00000163295,ENST00000295463,PT (PRINCIPAL:1),r,,,
7,3158,ENSG00000134240,ENST00000544913,NPT,m,Yes,,N (rep1)
8,5338,ENSG00000129219,ENST00000576983,NPT,c,,,CM (rep2)
9,759,ENSG00000133742,ENST00000523953,PT (PRINCIPAL:1),c,,,
10,3030,ENSG00000084754,ENST00000380649,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
11,7263,ENSG00000128311,ENST00000622841,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
12,1565,ENSG00000100197,ENST00000360608,PT (PRINCIPAL:1),r,,,
13,2879,ENSG00000167468,ENST00000593032,NPT,c,,,H (rep1)
14,8659,ENSG00000159423,ENST00000375341,PT (PRINCIPAL:1),m,,,M (rep2)
15,1610,ENSG00000110887,ENST00000547166,NPT,x,,,
16,5283,ENSG00000100564,ENST00000559581,NPT,n,,,
17,160287,ENSG00000166800,ENST00000615355,NPT,c,,,C (rep1)
18,5019,ENSG00000083720,ENST00000509987,NPT,c,,,
19,55748,ENSG00000133313,ENST00000579847,PT (PRINCIPAL:1),c,Yes,,C (rep1)
20,3421,ENSG00000067829,ENST00000619865,NPT,c,,,CM (rep1)
21,10588,ENSG00000136371,ENST00000559722,NPT,c,Yes,,
22,1312,ENSG00000093010,ENST00000403710,PT (PRINCIPAL:3),r,Yes,,
23,501,ENSG00000164904,ENST00000636743,NPT,m,Yes,Inner Mitochondrial Membrane,C (rep1)
24,387893,ENSG00000183955,ENST00000437502,NPT,n,Yes,,
25,8706,ENSG00000169255,ENST00000488170,PT (PRINCIPAL:1),x,,,
26,92483,ENSG00000171989,ENST00000307144,PT (PRINCIPAL:1),m,,,C (rep3)
27,6120,ENSG00000197713,ENST00000436630,NPT,c,,,
28,129607,ENSG00000134326,ENST00000458098,NPT,m,Yes,,
29,2203,ENSG00000165140,ENST00000415431,PT (PRINCIPAL:1),c,,,
30,1633,ENSG00000156136,ENST00000286648,PT (PRINCIPAL:1),n,Yes,,
31,54579,ENSG00000240224,ENST00000373414,PT (PRINCIPAL:1),x,,,
32,5332,ENSG00000101333,ENST00000378493,PT (ALTERNATIVE:1),n,,,
33,160287,ENSG00000166800,ENST00000396213,PT (PRINCIPAL:1),c,,,C (rep1)
34,8706,ENSG00000169255,ENST00000392779,PT (PRINCIPAL:1),x,,,
35,38,ENSG00000075239,ENST00000265838,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,C (rep3)
36,2539,ENSG00000160211,ENST00000439227,NPT,c,Yes,,C (rep1)
37,5146,ENSG00000095464,ENST00000371447,PT (PRINCIPAL:1),c,,,
38,79178,ENSG00000259431,ENST00000288014,PT (PRINCIPAL:1),c,,,
39,3631,ENSG00000040933,ENST00000409540,NPT,m,,,
40,3284,ENSG00000203859,ENST00000543831,PT (PRINCIPAL:1),x,,,
41,57571,ENSG00000172508,ENST00000445895,PT (PRINCIPAL:1),c,,,
42,8574,ENSG00000053371,ENST00000235835,PT (PRINCIPAL:1),m,,,
43,7360,ENSG00000169764,ENST00000491621,NPT,c,,,C (rep1)
44,1565,ENSG00000100197,ENST00000359033,NPT,r,,,
45,132789,ENSG00000163281,ENST00000507917,NPT,c,,,C (rep1)
46,10724,ENSG00000198408,ENST00000439817,NPT,c,Yes,,C (rep2)
47,219,ENSG00000137124,ENST00000377698,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
48,6484,ENSG00000110080,ENST00000449406,NPT,r,,,
49,9162,ENSG00000157680,ENST00000446122,PT (ALTERNATIVE:2),n,,,
50,1638,ENSG00000080166,ENST00000446125,NPT,x,,,
51,1635,ENSG00000129187,ENST00000357067,NPT,c,Yes,,
52,2739,ENSG00000124767,ENST00000373365,PT (PRINCIPAL:1),c,Yes,,C (rep1)
